state,district,season,N,P,K,pH,humidity,rainfall,temperature
Andhra Pradesh,Rangareddi,rabi,86.9486,54.2673,52.2307,6.4582,70.2149,134.0931,22.7426
Andhra Pradesh,Rangareddi,zaid,76.0013,45.0343,61.3222,6.4446,68.87,143.0185,28.6718
Andhra Pradesh,Spsr Nellore,kharif,79.6938,50.1252,44.9523,6.4396,71.8463,137.0039,26.9242
Andhra Pradesh,Spsr Nellore,rabi,86.5182,53.3372,50.0543,6.4573,70.8941,140.8115,22.6972
Andhra Pradesh,Spsr Nellore,zaid,73.6172,47.8415,62.1861,6.4152,69.9621,141.7689,28.2928
Andhra Pradesh,Srikakulam,kharif,79.3427,50.1585,44.2859,6.4443,71.5504,136.9295,26.8012
Andhra Pradesh,Srikakulam,rabi,85.9323,52.8826,49.4561,6.4351,70.4758,138.9259,22.7009
Andhra Pradesh,Srikakulam,zaid,76.1941,45.1467,60.3516,6.4348,68.3745,145.1132,27.9584
Andhra Pradesh,Visakhapatanam,kharif,79.7057,50.6761,44.3188,6.4448,71.4828,135.9315,26.8443
Andhra Pradesh,Visakhapatanam,rabi,85.7678,52.9548,49.055,6.4385,70.5828,138.1232,22.7465
Andhra Pradesh,Visakhapatanam,zaid,74.7201,47.6385,61.6138,6.3796,68.4431,143.5789,28.39
Andhra Pradesh,Vizianagaram,kharif,79.3886,50.7737,44.8947,6.4307,71.747,135.8643,26.8761
Andhra Pradesh,Vizianagaram,rabi,85.5499,52.6628,48.3723,6.438,70.8044,137.6205,22.7718
Andhra Pradesh,Vizianagaram,zaid,77.0686,46.4823,60.63,6.478,68.5201,140.3183,28.4725
Andhra Pradesh,Warangal,kharif,86.8592,53.6519,47.1731,6.5329,67.7448,130.3254,26.9668
Andhra Pradesh,Warangal,rabi,86.542,54.3046,51.8186,6.4548,70.4053,132.9001,22.7559
Andhra Pradesh,Warangal,zaid,73.5071,46.524,64.4804,6.3925,68.3034,141.9599,28.1379
Andhra Pradesh,West Godavari,kharif,80.0828,50.248,44.8359,6.4523,71.4056,135.8613,26.7981
Andhra Pradesh,West Godavari,rabi,85.684,52.927,48.2589,6.4484,70.8978,137.7822,22.7441
Andhra Pradesh,West Godavari,zaid,75.9584,48.5329,63.7852,6.4333,68.9457,145.3661,28.0799
Arunachal Pradesh,Anjaw,kharif,66.6079,45.832,30.945,6.397,69.5812,146.0997,24.3832
Arunachal Pradesh,Anjaw,rabi,93.332,56.9311,71.5162,6.3846,66.4908,124.2462,21.0569
Arunachal Pradesh,Changlang,kharif,68.4438,46.182,30.9329,6.3772,70.1637,148.9806,24.117
Arunachal Pradesh,Changlang,rabi,95.184,55.4784,70.8645,6.3732,66.5713,123.4496,21.3572
Arunachal Pradesh,Dibang Valley,kharif,68.6402,46.4744,31.022,6.3668,70.3228,149.4414,24.0348
Arunachal Pradesh,Dibang Valley,rabi,92.8529,56.5845,70.9182,6.3602,66.5109,122.0244,21.2926
Arunachal Pradesh,East Kameng,kharif,68.732,46.2228,31.0765,6.3696,70.1072,149.2523,24.0426
Arunachal Pradesh,East Kameng,rabi,92.3612,56.2141,71.4048,6.3351,66.7098,122.5121,20.9065
Arunachal Pradesh,East Siang,kharif,68.3418,46.5171,30.9331,6.3722,70.367,148.7876,24.0854
Arunachal Pradesh,East Siang,rabi,93.4593,55.594,69.8737,6.3561,66.0783,120.984,20.4404
Arunachal Pradesh,Kamle,kharif,55.9509,44.6222,32.1659,6.4327,65.803,133.6563,25.2572
Arunachal Pradesh,Kamle,rabi,92.5638,55.3172,71.5299,6.3992,67.0936,121.4595,20.653
Arunachal Pradesh,Kra Daadi,kharif,59.4227,45.2188,32.1726,6.4325,67.0559,137.9848,25.0302
Arunachal Pradesh,Kra Daadi,rabi,94.6842,55.7896,69.7793,6.3745,67.6449,122.3578,20.5044
Arunachal Pradesh,Kurung Kumey,kharif,67.1288,46.7274,30.9793,6.3732,69.5753,148.132,24.3155
Arunachal Pradesh,Kurung Kumey,rabi,92.868,56.7094,70.3315,6.3954,66.4645,121.6213,21.0336
Arunachal Pradesh,Leparada,kharif,55.3435,44.5853,32.4302,6.4309,65.3215,134.1512,25.1698
Arunachal Pradesh,Leparada,rabi,92.7439,56.3825,71.284,6.3817,67.7229,122.5447,21.2553
Arunachal Pradesh,Lohit,kharif,68.3062,46.3456,31.0901,6.4012,70.0316,148.0985,24.0962
Arunachal Pradesh,Lohit,rabi,95.9892,55.1904,70.7388,6.3669,66.2323,121.8356,20.9425
Arunachal Pradesh,Longding,kharif,61.6802,45.4955,31.8352,6.4428,68.0629,139.1541,24.8589
Arunachal Pradesh,Longding,rabi,94.1566,55.716,70.9311,6.342,66.9639,121.7692,21.1457
Arunachal Pradesh,Lower Dibang Valley,kharif,66.6526,46.1417,31.3101,6.3859,70.125,146.479,24.2083
Arunachal Pradesh,Lower Dibang Valley,rabi,93.7249,56.1263,69.6606,6.3688,66.7133,122.0156,21.0696
Arunachal Pradesh,Lower Siang,kharif,56.4765,45.2416,32.5151,6.4273,65.2556,132.6739,25.2043
Arunachal Pradesh,Lower Siang,rabi,95.3041,56.3205,70.1551,6.3567,66.4261,123.97,20.827
Arunachal Pradesh,Lower Subansiri,kharif,68.7432,46.8933,31.2861,6.376,70.1296,149.8552,24.2206
Arunachal Pradesh,Lower Subansiri,rabi,93.9886,55.7023,71.3249,6.3959,66.8405,122.85,20.4509
Arunachal Pradesh,Namsai,kharif,59.3576,45.8137,31.6381,6.421,67.7917,138.9814,24.7988
Arunachal Pradesh,Namsai,rabi,93.9031,56.8285,69.3333,6.3447,66.5485,121.7642,21.0642
Arunachal Pradesh,Pakke Kessang,kharif,54.1462,44.1766,32.3578,6.4354,66.5517,136.5522,25.5478
Arunachal Pradesh,Pakke Kessang,rabi,93.0814,56.9255,72.4659,6.3764,67.0005,121.907,20.8474
Arunachal Pradesh,Papum Pare,kharif,68.8893,46.2412,30.9127,6.3836,70.2245,150.8568,24.1521
Arunachal Pradesh,Papum Pare,rabi,92.3992,57.109,71.0142,6.359,66.2078,121.673,20.8011
Arunachal Pradesh,Shi Yomi,kharif,55.4615,44.5994,32.4302,6.4347,65.2942,133.8038,25.5884
Arunachal Pradesh,Shi Yomi,rabi,95.4234,55.4884,70.9887,6.3674,66.2863,121.9284,20.9784
Arunachal Pradesh,Siang,kharif,59.2461,45.0737,31.919,6.4107,67.6014,139.4409,25.0762
Arunachal Pradesh,Siang,rabi,93.0266,55.3885,70.5027,6.3917,67.2982,122.6685,20.8538
Arunachal Pradesh,Tawang,kharif,68.3753,46.504,31.0871,6.3787,70.4261,148.2706,24.052
Arunachal Pradesh,Tawang,rabi,92.2937,56.6357,70.0281,6.3672,67.1157,123.7829,20.9816
Arunachal Pradesh,Tirap,kharif,68.7213,46.2519,30.6871,6.3642,70.1205,148.7797,23.9908
Arunachal Pradesh,Tirap,rabi,92.1167,55.6175,70.5756,6.3872,66.7813,119.8087,20.783
Arunachal Pradesh,Upper Siang,kharif,69.0103,46.5304,30.9394,6.362,70.3257,149.1779,24.0658
Arunachal Pradesh,Upper Siang,rabi,95.1043,56.0397,70.2108,6.3937,66.6916,123.9272,20.5
Arunachal Pradesh,Upper Subansiri,kharif,68.9073,46.7047,30.8311,6.3862,70.4774,149.3658,24.1532
Arunachal Pradesh,Upper Subansiri,rabi,95.926,57.0721,72.5873,6.3927,66.5162,123.5621,20.6922
Arunachal Pradesh,West Kameng,kharif,68.7457,46.4786,31.0944,6.3876,70.3927,148.0516,23.8876
Arunachal Pradesh,West Kameng,rabi,94.2003,55.2075,71.2658,6.3565,65.8851,122.7062,21.0691
Arunachal Pradesh,West Siang,kharif,68.8272,46.2859,30.8039,6.3757,70.0234,150.4811,24.0137
Arunachal Pradesh,West Siang,rabi,93.7232,56.7224,69.0514,6.3572,66.685,120.9106,20.9366
Assam,Baksa,kharif,84.3391,50.8434,48.4917,6.3472,76.5642,155.9269,26.8517
Assam,Baksa,rabi,84.295,50.1076,54.3256,6.4373,69.7676,146.2094,20.9835
Assam,Baksa,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Barpeta,kharif,81.1719,50.0732,45.2165,6.2936,78.0223,157.5935,26.5307
Assam,Barpeta,rabi,83.3388,49.6525,52.5836,6.4183,70.8099,158.3136,21.2956
Assam,Barpeta,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Biswanath,kharif,95.4419,52.0607,60.3552,6.499,74.3556,164.5985,28.8643
Assam,Biswanath,rabi,86.4239,50.7127,59.4533,6.4294,65.1162,118.1993,19.9446
Assam,Bongaigaon,kharif,80.4137,50.1755,45.257,6.3001,77.8069,156.4082,26.6161
Assam,Bongaigaon,rabi,83.5846,50.2276,52.1983,6.4127,71.0384,158.0204,21.4792
Assam,Bongaigaon,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Cachar,kharif,81.1681,50.1094,45.1822,6.3144,77.7424,157.2941,26.5443
Assam,Cachar,rabi,85.2086,50.3985,52.4184,6.4249,71.1325,158.6795,21.3615
Assam,Cachar,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Charaideo,kharif,97.4672,52.3192,60.6889,6.497,74.2088,166.2536,28.1411
Assam,Charaideo,rabi,85.1834,51.5665,58.7056,6.4083,65.6549,116.5258,20.4202
Assam,Chirang,kharif,84.8897,50.7954,48.2704,6.351,77.104,157.6565,26.9789
Assam,Chirang,rabi,84.6356,50.6484,54.0087,6.4261,68.8616,147.0025,21.09
Assam,Chirang,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Darrang,kharif,81.7927,50.1806,45.1682,6.2972,77.608,157.492,26.524
Assam,Darrang,rabi,84.0779,50.3084,52.7885,6.4306,71.0061,157.2272,21.3361
Assam,Darrang,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Dhemaji,kharif,81.231,50.0301,45.0926,6.2993,77.7223,157.7757,26.5064
Assam,Dhemaji,rabi,83.6577,50.516,52.154,6.4068,70.8685,158.5636,21.4137
Assam,Dhemaji,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Dhubri,kharif,81.7294,50.2063,45.5323,6.3082,77.9649,156.6741,26.6248
Assam,Dhubri,rabi,84.0785,50.0914,52.3187,6.4228,71.1385,157.1603,21.5282
Assam,Dhubri,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Dibrugarh,kharif,81.4895,49.7929,45.8808,6.3093,77.9804,158.109,26.5733
Assam,Dibrugarh,rabi,85.4427,50.2891,53.2447,6.4213,70.5901,158.8272,21.5194
Assam,Dibrugarh,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Dima Hasao,kharif,81.3332,50.6448,45.4595,6.3135,77.7354,157.7089,26.4837
Assam,Dima Hasao,rabi,84.7678,50.2648,51.8937,6.4201,70.6674,157.64,21.4106
Assam,Dima Hasao,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Goalpara,kharif,81.8784,50.5276,45.2914,6.3024,77.8776,157.5499,26.4464
Assam,Goalpara,rabi,83.8378,50.3501,53.0845,6.44,70.8849,158.0961,21.4176
Assam,Goalpara,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Golaghat,kharif,81.2048,50.4883,45.3015,6.3055,77.707,158.0262,26.5235
Assam,Golaghat,rabi,83.6929,50.7504,52.9274,6.4324,70.9518,157.1591,21.4325
Assam,Golaghat,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Hailakandi,kharif,81.0145,50.146,45.3408,6.2965,78.0081,158.7484,26.5712
Assam,Hailakandi,rabi,84.8571,50.6364,52.3212,6.426,71.0841,158.7355,21.2893
Assam,Hailakandi,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Hojai,kharif,96.8506,52.4779,60.6708,6.5186,73.3757,166.5885,28.3598
Assam,Hojai,rabi,86.2228,52.4562,59.2729,6.4031,65.1948,116.8462,20.2212
Assam,Jorhat,kharif,81.637,50.4383,45.3433,6.3022,77.6342,158.4774,26.5192
Assam,Jorhat,rabi,84.0835,50.337,52.8068,6.4162,71.1684,157.8196,21.2556
Assam,Jorhat,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Kamrup,kharif,82.2631,50.1377,45.3454,6.3129,77.8843,156.1688,26.5018
Assam,Kamrup,rabi,84.9449,50.1492,52.3032,6.4336,71.1373,159.6512,21.3478
Assam,Kamrup,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Kamrup Metro,kharif,84.4577,50.7594,48.1313,6.3335,77.0977,157.0386,26.8621
Assam,Kamrup Metro,rabi,83.8341,50.3348,54.0903,6.4366,69.3575,147.913,21.215
Assam,Kamrup Metro,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Karbi Anglong,kharif,81.7651,49.8626,45.0823,6.2966,77.9019,157.4047,26.496
Assam,Karbi Anglong,rabi,84.3587,50.3727,52.4038,6.4061,71.1079,157.9746,21.5945
Assam,Karbi Anglong,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Karimganj,kharif,80.5172,49.9702,45.4001,6.3126,77.8398,157.0415,26.5645
Assam,Karimganj,rabi,83.4928,49.9836,52.2435,6.4265,71.124,158.0557,21.2928
Assam,Karimganj,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Kokrajhar,kharif,81.5721,49.6817,45.1903,6.3046,77.7328,156.7737,26.4238
Assam,Kokrajhar,rabi,84.1503,49.8947,53.0024,6.4265,70.8405,157.9551,21.5046
Assam,Kokrajhar,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Lakhimpur,kharif,82.3665,50.275,45.3994,6.3015,77.5321,156.7435,26.5522
Assam,Lakhimpur,rabi,84.7252,49.9512,51.7751,6.4131,71.2193,158.3007,21.0945
Assam,Lakhimpur,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Majuli,kharif,95.2858,52.4663,61.0101,6.479,74.5499,166.1239,28.6772
Assam,Majuli,rabi,85.0455,51.5394,59.1707,6.4092,64.6562,119.8484,20.0188
Assam,Marigaon,kharif,81.6041,50.5778,45.3564,6.3049,78.1845,156.4578,26.4501
Assam,Marigaon,rabi,83.5987,50.4172,52.5097,6.4281,70.9456,159.4607,21.3253
Assam,Marigaon,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Nagaon,kharif,80.9933,50.3024,45.4963,6.2911,77.8556,156.4247,26.5711
Assam,Nagaon,rabi,84.2063,50.0831,52.3254,6.4375,71.0996,159.7417,21.3447
Assam,Nagaon,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Nalbari,kharif,81.5415,50.0611,45.3287,6.2987,77.8342,157.5624,26.4278
Assam,Nalbari,rabi,84.4152,50.8392,52.672,6.4358,71.2007,158.5594,21.2041
Assam,Nalbari,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Sivasagar,kharif,81.2904,50.3772,45.612,6.3221,77.6305,156.9695,26.5781
Assam,Sivasagar,rabi,83.7432,50.5147,52.475,6.4057,70.9895,157.957,21.3415
Assam,Sivasagar,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Sonitpur,kharif,81.4843,50.1432,45.3785,6.3121,77.9297,157.1792,26.4559
Assam,Sonitpur,rabi,84.792,50.2502,52.0353,6.4142,71.3244,158.8514,21.3675
Assam,Sonitpur,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Tinsukia,kharif,83.0152,50.7541,46.0598,6.3167,77.4755,156.5664,26.523
Assam,Tinsukia,rabi,83.9921,50.3978,52.609,6.43,71.2155,158.8318,21.2434
Assam,Tinsukia,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,Udalguri,kharif,84.7965,51.0617,47.6686,6.3444,76.9668,156.8539,26.8294
Assam,Udalguri,rabi,84.781,50.689,54.434,6.422,69.846,147.1945,20.9959
Assam,Udalguri,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Assam,West Karbi Anglong,kharif,96.9662,51.8146,60.6998,6.5028,74.1364,163.2911,28.5566
Assam,West Karbi Anglong,rabi,86.3171,52.097,59.9539,6.4172,64.7977,118.4973,20.4166
Bihar,Araria,kharif,97.1513,55.4752,46.154,6.3979,75.7371,164.458,25.4223
Bihar,Araria,rabi,79.5562,52.8796,40.6936,6.4944,63.8723,116.7046,20.1684
Bihar,Araria,zaid,78.825,48.01,29.83,6.3353,73.6825,160.4741,23.0393
Bihar,Arwal,kharif,103.8758,53.0042,50.1858,6.4368,73.2757,157.6007,25.6954
Bihar,Arwal,rabi,80.48,53.4181,41.5851,6.5443,62.8465,114.6172,19.8593
Bihar,Arwal,zaid,77.9967,48.3444,22.0211,6.2652,67.0012,101.5908,22.5337
Bihar,Aurangabad,kharif,99.7873,53.0245,46.7165,6.4577,71.6796,146.9458,25.239
Bihar,Aurangabad,rabi,80.1596,52.6539,41.7958,6.5111,63.5454,119.2737,19.9887
Bihar,Aurangabad,zaid,78.0795,48.311,22.802,6.2722,67.6693,107.4791,22.5842
Bihar,Banka,kharif,99.2426,52.6289,45.8731,6.4446,72.5221,154.4574,25.4117
Bihar,Banka,rabi,79.49,53.1718,40.2655,6.5087,63.4307,116.281,20.197
Bihar,Banka,zaid,78.1404,48.2864,23.3757,6.2774,68.1602,111.8052,22.6214
Bihar,Begusarai,kharif,94.9706,54.7352,45.7348,6.384,75.2936,162.6863,25.3835
Bihar,Begusarai,rabi,79.6798,53.0586,40.4525,6.493,64.0227,116.4577,20.2393
Bihar,Begusarai,zaid,78.6652,48.0745,28.324,6.3218,72.394,149.118,22.9418
Bihar,Bhagalpur,kharif,96.5735,55.0152,45.7269,6.3961,75.2216,161.0357,25.3935
Bihar,Bhagalpur,rabi,79.9211,52.8107,40.1944,6.5071,63.7258,117.417,20.2459
Bihar,Bhagalpur,zaid,78.7236,48.051,28.8738,6.3267,72.8644,153.2639,22.9774
Bihar,Bhojpur,kharif,95.2276,51.1081,45.1356,6.437,74.5035,171.1091,25.0866
Bihar,Bhojpur,rabi,79.8677,53.374,40.0093,6.5016,64.0694,116.9993,20.1687
Bihar,Bhojpur,zaid,78.5659,48.1146,27.3878,6.3134,71.593,142.0588,22.8811
Bihar,Bokaro,kharif,116.1245,55.5671,61.7222,6.573,75.4212,178.8442,27.4776
Bihar,Bokaro,rabi,80.4492,55.2663,45.6664,6.6077,60.0255,101.6553,19.0651
Bihar,Bokaro,zaid,79.18,47.8667,33.1767,6.3654,76.546,185.7097,23.256
Bihar,Buxar,kharif,99.476,52.3237,46.0436,6.4421,72.5318,152.9335,25.2764
Bihar,Buxar,rabi,79.9764,53.0497,41.4148,6.51,63.6482,117.8953,20.0566
Bihar,Buxar,zaid,77.8665,48.397,20.794,6.2542,65.9513,92.3377,22.4542
Bihar,Chatra,kharif,113.8769,54.7813,62.2616,6.5735,75.6423,178.6109,27.2668
Bihar,Chatra,rabi,79.8142,55.2501,45.6168,6.6117,59.5642,100.0654,19.0763
Bihar,Chatra,zaid,78.47,48.1533,26.4833,6.3053,70.8191,135.2384,22.8226
Bihar,Darbhanga,kharif,95.3995,55.0745,45.3766,6.384,75.0818,163.6511,25.3941
Bihar,Darbhanga,rabi,79.9897,53.0037,40.1428,6.5048,63.8084,116.4738,20.2739
Bihar,Darbhanga,zaid,78.825,48.01,29.83,6.3353,73.6825,160.4741,23.0393
Bihar,Deoghar,kharif,111.9334,55.8208,61.4877,6.5562,75.8965,179.601,27.2932
Bihar,Deoghar,rabi,79.6409,55.5695,45.3497,6.5928,59.693,100.1223,19.15
Bihar,Deoghar,zaid,78.825,48.01,29.83,6.3353,73.6825,160.4741,23.0393
Bihar,Dhanbad,kharif,113.8713,55.5822,61.2719,6.5759,75.3027,181.4577,27.5309
Bihar,Dhanbad,rabi,80.2814,55.0882,45.7368,6.5948,59.4725,99.7415,18.8289
Bihar,Dhanbad,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Bihar,Dumka,kharif,113.3436,56.5801,61.4523,6.555,76.0862,180.0623,27.3912
Bihar,Dumka,rabi,80.4839,55.0289,45.0221,6.5696,59.224,99.7008,19.104
Bihar,Dumka,zaid,78.825,48.01,29.83,6.3353,73.6825,160.4741,23.0393
Bihar,East Singhbum,kharif,114.7516,54.9037,62.0178,6.5697,75.7415,180.6503,27.1417
Bihar,East Singhbum,rabi,80.1842,55.5414,45.7697,6.577,59.7901,101.4637,18.9523
Bihar,East Singhbum,zaid,79.89,47.58,39.87,6.4255,82.2728,236.1811,23.6893
Bihar,Garhwa,kharif,115.9126,56.4117,62.1803,6.5496,75.4578,178.1592,27.0692
Bihar,Garhwa,rabi,79.9366,54.7866,45.0119,6.5958,59.891,99.8739,19.2622
Bihar,Garhwa,zaid,77.76,48.44,19.79,6.2452,65.0922,84.767,22.3892
Bihar,Gaya,kharif,95.6974,53.7453,46.2031,6.4227,74.5649,161.1108,25.168
Bihar,Gaya,rabi,80.0601,53.1469,40.732,6.5008,63.9723,116.9438,20.0838
